Algorithm,Encryption Time (s),Decryption Time (s),Throughput,Entropy,Accuracy (%),Ciphertext Size,Memory Usage
RSA,0.07657861709594727,0.3500652313232422,16048.866466995025,4.287103141519076,100.0,659,700
ECC,0.004928112030029297,0.00012874603271484375,249385.56439283988,3.1878290438727412,1.0,659,700
ECC-ElGamal,0.014794111251831055,0.00012063980102539062,83073.59455931411,3.1045958484322735,0.7000000000000001,659,700
Hybrid ECC+CRT,0.006991863250732422,0.005094766616821289,175775.74902816614,3.234217533289843,100.0,659,700
